时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2022/11/23 14:30:55,49.9574186909952,0,0,False,4,4,0,0,0,0,0,0,0
2022/11/23 14:30:57,47.720038563494,75,33.33185,False,9,9,0,3,0,0,6,6,0
2022/11/23 14:31:00,47.720038563494,185,52.85563,True,14,14,0,8,0,100,5,5,0
2022/11/23 14:31:02,47.720038563494,310,65.26178,True,19,19,0,13,0,235,5,5,0
2022/11/23 14:31:05,47.720038563494,435,72.49879,True,24,24,0,18,0,360,5,5,0
2022/11/23 14:31:07,46.341224215753,535,71.33238,True,30,30,0,22,0,385,5,5,0
2022/11/23 14:31:10,45.2165069687456,645,80.62399,False,32,30,2,27,0,335,5,5,0
2022/11/23 14:31:12,39.9569503987725,640,75.29323,False,34,32,2,28,0,295,2,0,2
2022/11/23 14:31:15,36.499763426263,690,76.66582,False,36,33,3,30,0,155,3,3,0
2022/11/23 14:31:17,36.499763426263,740,75.89666,False,39,36,3,32,0,145,1,0,1
2022/11/23 14:31:20,36.499763426263,815,81.49918,False,40,36,4,35,0,110,2,2,0
2022/11/23 14:31:22,36.499763426263,840,78.13881,True,43,39,4,36,0,175,2,1,1
2022/11/23 14:31:25,39.5079974148134,890,79.1104,False,45,41,4,38,0,150,3,3,0
2022/11/23 14:31:27,40.2389076539215,965,83.91232,True,46,41,5,41,0,175,2,2,0
2022/11/23 14:31:30,32.4693952785467,990,80.81567,False,49,44,5,42,0,175,1,0,1
2022/11/23 14:31:32,23.4079785984539,1040,83.19933,False,50,45,5,44,0,150,2,2,0
2022/11/23 14:31:35,23.4079785984539,1090,85.48952,False,51,45,6,46,0,125,1,1,0
2022/11/23 14:31:37,23.4079785984539,1115,84.15031,False,53,47,6,47,0,100,2,1,1
2022/11/23 14:31:40,23.4079785984539,1165,84.72665,False,55,49,6,49,0,100,2,2,0
2022/11/23 14:31:42,23.4266250940097,1215,86.7851,True,56,49,7,51,0,125,1,1,0
2022/11/23 14:31:45,25.9741444259393,1240,84.06722,False,59,52,7,52,0,125,2,1,1
2022/11/23 14:31:47,21.8589785650663,1315,87.66608,True,60,52,8,55,0,150,2,1,1
2022/11/23 14:31:50,22.0091652583978,1340,87.86828,False,61,52,9,56,0,125,1,1,0
2022/11/23 14:31:52,22.0091652583978,1365,83.99948,False,65,56,9,57,0,125,2,1,1
2022/11/23 14:31:55,22.0091652583978,1465,83.71381,False,70,61,9,61,0,125,5,5,0
2022/11/23 14:31:57,22.0091652583978,1525,84.72175,True,72,63,9,64,0,175,3,3,0
2022/11/23 14:32:00,28.7240246847617,1560,85.47898,False,73,63,10,66,0,170,2,2,0
