时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2022:11:23:14:45:14:308241,66.3001118201705,0,0,False,0,0,0,0,0,0,0,0,0
2022:11:23:14:45:16:811680,63.3018629196216,0,0,False,0,0,0,0,0,0,0,0,0
2022:11:23:14:45:19:321076,61.9994185289997,0,0,False,0,0,0,0,0,0,0,0,0
2022:11:23:14:45:21:830954,59.4372157501696,0,0,False,1,1,0,0,0,0,0,0,0
2022:11:23:14:45:24:340422,59.4372157501696,25,33.32889,False,3,3,0,1,0,0,2,2,0
2022:11:23:14:45:26:848100,59.4372157501696,75,59.9952,True,5,5,0,3,0,50,1,1,0
2022:11:23:14:45:29:350854,59.4372157501696,125,83.32778,True,6,6,0,5,0,75,2,2,0
2022:11:23:14:45:31:859464,55.6023599213377,150,74.99625,True,8,8,0,6,0,125,2,2,0
2022:11:23:14:45:34:365811,58.4393060357821,200,79.9968,False,10,9,1,8,0,125,2,2,0
2022:11:23:14:45:36:867725,52.9014632220562,250,76.92071,True,13,11,2,10,0,150,3,2,1
2022:11:23:14:45:39:377095,39.7324768796546,325,76.46879,True,17,15,2,13,0,175,2,1,1
2022:11:23:14:45:41:888322,39.7324768796546,400,79.9984,False,20,18,2,16,0,175,4,4,0
2022:11:23:14:45:44:394150,39.7324768796546,500,90.90744,True,22,19,3,20,0,200,2,1,1
2022:11:23:14:45:46:897062,39.7324768796546,550,87.99859,False,25,22,3,22,0,200,4,4,0
2022:11:23:14:45:49:398684,35.4256074376125,625,92.59122,True,27,23,4,25,0,250,2,1,1
2022:11:23:14:45:51:897931,38.2866528616773,675,93.10217,False,29,25,4,27,0,225,2,2,0
2022:11:23:14:45:54:405678,32.6617665783483,725,99.99862,False,29,25,4,29,0,200,1,1,0
2022:11:23:14:45:56:911513,22.5205937348676,725,90.62386,False,32,27,5,29,0,125,0,0,0
2022:11:23:14:45:59:421710,22.5205937348676,800,86.48555,False,37,32,5,32,0,75,6,5,1
2022:11:23:14:46:01:931133,22.5205937348676,925,92.49908,True,40,34,6,37,0,175,4,3,1
2022:11:23:14:46:04:442101,22.5205937348676,1000,93.02239,True,43,36,7,40,0,225,3,2,1
2022:11:23:14:46:06:944940,26.3269371659865,1075,99.99907,True,43,36,7,43,0,300,1,1,0
2022:11:23:14:46:09:451837,30.5269953720485,1075,91.48858,False,47,39,8,43,0,200,2,2,0
2022:11:23:14:46:11:961061,31.3447859958824,1135,89.01891,False,51,42,9,46,0,150,3,2,1
2022:11:23:14:46:14:463233,31.349394056833,1195,86.90845,False,55,45,10,49,0,135,3,2,1
2022:11:23:14:46:16:973465,31.8999673660028,1230,87.85651,False,56,46,10,51,0,120,4,3,1
2022:11:23:14:46:19:482543,31.8999673660028,1280,89.82393,True,57,47,10,53,0,155,2,2,0
2022:11:23:14:46:21:989243,31.8999673660028,1305,85.57321,False,61,51,10,54,0,145,2,2,0
2022:11:23:14:46:24:499893,32.681498715816,1405,89.20578,True,63,52,11,58,0,160,3,3,0
2022:11:23:14:46:27:000824,36.5879954563063,1415,85.75706,True,66,54,12,59,0,175,1,-1,2
2022:11:23:14:46:29:507496,38.4938600369705,1490,87.64655,False,68,54,14,62,0,110,4,4,0
2022:11:23:14:46:32:011571,42.0382253544649,1515,85.35163,True,71,57,14,63,0,160,2,0,2
2022:11:23:14:46:34:517626,43.8795335600502,1615,88.49267,False,73,57,16,67,0,110,3,3,0
2022:11:23:14:46:37:027794,43.8795335600502,1665,87.63112,True,76,60,16,69,0,225,2,0,2
2022:11:23:14:46:39:532118,43.8795335600502,1740,90.38914,False,77,60,17,72,0,150,2,1,1
2022:11:23:14:46:42:038573,43.8795335600502,1765,88.24956,True,80,63,17,73,0,200,2,2,0
2022:11:23:14:46:44:546596,45.0549021071257,1840,88.67427,False,83,66,17,76,0,150,2,2,0
2022:11:23:14:46:47:056765,44.1519779287958,1915,92.28871,True,83,63,20,79,0,175,3,3,0
2022:11:23:14:46:49:559305,47.2168294902578,1915,92.28871,False,83,63,20,79,0,175,0,-3,3
2022:11:23:14:46:52:068747,49.5319006032818,1915,91.19004,False,84,64,20,79,0,125,0,0,0
2022:11:23:14:46:54:577747,49.5319006032818,1940,87.19062,False,89,69,20,80,0,75,1,1,0
2022:11:23:14:46:57:087574,49.5319006032818,2040,89.66994,False,91,71,20,84,0,25,5,5,0
2022:11:23:14:46:59:592276,49.8136166991335,2075,89.24693,True,93,73,20,86,0,110,2,2,0
2022:11:23:14:47:02:094080,53.4557974753405,2125,89.4733,True,95,75,20,88,0,160,3,3,0
2022:11:23:14:47:04:595163,52.7482189260043,2150,85.14818,True,101,81,20,89,0,210,4,4,0
2022:11:23:14:47:07:107657,52.1112158746957,2325,89.42273,True,104,83,21,96,0,225,5,5,0
2022:11:23:14:47:09:615980,57.8128198427477,2360,87.40708,True,108,87,21,98,0,250,3,2,1
2022:11:23:14:47:12:128113,55.6232998745048,2460,86.31548,True,114,93,21,102,0,260,4,4,0
2022:11:23:14:47:14:633652,55.6232998745048,2585,88.37576,False,117,96,21,107,0,235,5,5,0
2022:11:23:14:47:17:137477,55.6232998745048,2685,90.2518,True,119,98,21,111,0,285,2,2,0
2022:11:23:14:47:19:642733,55.9570589131622,2735,91.16636,False,120,99,21,113,0,275,2,2,0
2022:11:23:14:47:22:145943,56.9191075303561,2760,91.23936,False,121,100,21,114,0,250,1,1,0
2022:11:23:14:47:24:645815,58.0195127614231,2785,92.06581,False,121,99,22,115,0,150,1,1,0
2022:11:23:14:47:27:155957,59.051801023113,2785,91.31117,False,122,100,22,115,0,100,0,-1,1
2022:11:23:14:47:29:667621,56.8674876091347,2810,89.91971,False,125,103,22,116,0,50,1,1,0
2022:11:23:14:47:32:175707,53.6394095932226,2860,89.37472,False,128,105,23,118,0,50,3,3,0
2022:11:23:14:47:34:676346,52.5252186059308,2935,89.61805,True,131,108,23,121,0,100,3,2,1
2022:11:23:14:47:37:181960,48.6919438461707,2970,89.32304,True,133,109,24,123,0,135,3,3,0
2022:11:23:14:47:39:691616,48.5849134458133,3045,88.26061,True,138,114,24,126,0,185,3,2,1
2022:11:23:14:47:42:199327,44.2215806590953,3145,90.50333,False,139,115,24,130,0,160,4,4,0
2022:11:23:14:47:44:702979,43.6747925133387,3195,89.99975,True,142,118,24,132,0,250,2,2,0
2022:11:23:14:47:47:214216,42.9123595200657,3270,90.83308,False,144,119,25,135,0,200,3,3,0
2022:11:23:14:47:49:725277,42.0423249203377,3320,92.22197,True,144,119,25,137,0,225,1,0,1
2022:11:23:14:47:52:233046,44.3594243132062,3320,90.95866,False,146,121,25,137,0,150,0,0,0
2022:11:23:14:47:54:751429,45.7946196179604,3370,89.27129,False,151,126,25,139,0,125,4,4,0
2022:11:23:14:47:57:254382,46.8329770377549,3495,91.97344,False,152,125,27,144,0,125,3,2,1
2022:11:23:14:47:59:761303,44.5191539851921,3520,90.25618,True,156,129,27,145,0,175,2,1,1
2022:11:23:14:48:02:275100,45.3512517505645,3580,91.79464,True,156,129,27,148,0,200,3,3,0
2022:11:23:14:48:04:780771,45.0987607838323,3580,89.49978,False,160,133,27,148,0,185,0,0,0
2022:11:23:14:48:07:282890,46.9058137015789,3680,90.86398,False,162,134,28,152,0,85,4,4,0
2022:11:23:14:48:09:787948,47.8142162590861,3690,89.99979,True,164,134,30,153,0,160,2,0,2
