时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2023:07:27:10:45:20:377650,64.7226708556733,0,0,False,0,0,0,0,0,0,0,0,0
2023:07:27:10:45:22:910050,64.7226708556733,0,0,False,1,1,0,0,0,0,1,1,0
2023:07:27:10:45:25:458996,64.8783961531797,0,0,False,3,3,0,0,0,0,2,2,0
2023:07:27:10:45:27:978992,66.527304145288,0,0,False,4,4,0,0,0,0,1,1,0
2023:07:27:10:45:30:605846,66.527304145288,0,0,False,5,5,0,0,0,0,1,1,0
2023:07:27:10:45:33:242011,69.6223959450577,0,0,False,7,7,0,0,0,0,1,1,0
2023:07:27:10:45:35:881216,65.8209198048072,0,0,False,9,9,0,0,0,0,3,3,0
2023:07:27:10:45:38:515512,64.5231409367799,0,0,False,12,12,0,0,0,0,2,2,0
2023:07:27:10:45:41:175747,67.7655852467066,0,0,False,15,14,1,0,0,0,2,1,1
2023:07:27:10:45:43:708143,67.5449410983882,0,0,False,18,17,1,0,0,0,4,4,0
2023:07:27:10:45:46:215046,63.8997456376084,0,0,False,21,19,2,0,0,0,3,2,1
2023:07:27:10:45:48:734010,58.0914565607079,0,0,False,22,19,3,0,0,0,2,1,1
