Attention,Meditation,brain_wave.alpha,brain_wave.delta,brain_wave.gamma,brain_wave.high_beta,brain_wave.low_beta,brain_wave.theta,eeg_data.pga,eeg_data.sample_rate,time
51.939,52.369,335.213,2314.960,65.850,111.718,173.791,407.896,128.000,160.000,2023:07:27:10:41:09:060954
51.939,52.369,119.357,652.848,29.197,46.142,75.311,210.891,128.000,160.000,2023:07:27:10:41:09:562022
52.164,53.516,21.544,139.703,4.509,5.600,11.494,34.037,128.000,160.000,2023:07:27:10:41:10:063190
52.164,53.516,15.288,85.560,3.411,5.037,10.428,17.918,128.000,160.000,2023:07:27:10:41:10:663487
52.963,53.912,16.327,74.133,3.415,4.350,9.949,20.602,128.000,160.000,2023:07:27:10:41:11:065144
52.963,53.912,13.258,54.001,2.685,3.358,10.016,19.617,128.000,160.000,2023:07:27:10:41:11:565979
50.721,53.934,15.684,40.622,2.564,3.202,9.357,17.823,128.000,160.000,2023:07:27:10:41:12:070302
50.721,53.934,5.077,28.993,1.157,1.568,4.853,13.378,128.000,160.000,2023:07:27:10:41:12:573361
51.501,55.227,5.754,29.861,1.134,1.715,4.427,14.225,128.000,160.000,2023:07:27:10:41:13:074172
51.501,55.227,4.996,26.872,1.042,1.778,4.143,13.622,128.000,160.000,2023:07:27:10:41:13:575376
51.922,54.803,5.988,30.140,1.042,1.734,4.397,14.385,128.000,160.000,2023:07:27:10:41:14:077132
51.922,54.803,12.882,28.516,1.298,1.908,4.734,23.817,128.000,160.000,2023:07:27:10:41:14:579191
52.427,53.104,18.729,34.330,1.586,3.806,7.493,24.238,128.000,160.000,2023:07:27:10:41:15:080846
52.427,53.104,21.562,39.948,1.869,4.161,7.871,25.597,128.000,160.000,2023:07:27:10:41:15:583567
53.162,51.842,21.402,38.744,1.850,4.225,7.920,28.802,128.000,160.000,2023:07:27:10:41:16:084926
53.162,51.842,22.252,38.474,3.274,4.868,9.487,29.403,128.000,160.000,2023:07:27:10:41:16:588124
54.263,51.281,25.459,49.254,3.620,4.767,10.519,39.296,128.000,160.000,2023:07:27:10:41:17:092304
54.263,51.281,22.668,51.007,3.585,5.377,10.937,37.408,128.000,160.000,2023:07:27:10:41:17:694140
55.449,50.579,25.538,63.347,3.905,5.831,13.153,35.648,128.000,160.000,2023:07:27:10:41:17:995690
55.449,50.579,30.603,69.122,3.991,6.045,12.733,34.803,128.000,160.000,2023:07:27:10:41:18:697163
56.619,50.557,31.497,73.728,4.073,6.546,13.051,37.361,128.000,160.000,2023:07:27:10:41:18:997088
56.619,50.557,23.603,74.169,4.007,6.754,12.394,33.386,128.000,160.000,2023:07:27:10:41:19:598948
58.119,50.028,19.742,71.646,3.823,6.146,11.041,32.172,128.000,160.000,2023:07:27:10:41:20:001246
58.119,50.028,17.889,80.501,3.636,5.242,10.104,27.881,128.000,160.000,2023:07:27:10:41:20:603417
58.884,48.762,19.310,70.658,3.491,4.856,10.072,23.090,128.000,160.000,2023:07:27:10:41:21:003336
58.884,48.762,17.354,75.241,2.717,4.707,8.457,24.958,128.000,160.000,2023:07:27:10:41:21:604768
58.905,47.355,15.335,56.663,1.768,3.877,6.919,17.945,128.000,160.000,2023:07:27:10:41:22:005730
58.905,47.355,13.897,57.134,1.766,3.715,7.010,18.632,128.000,160.000,2023:07:27:10:41:22:508150
58.295,47.274,13.665,49.405,1.621,2.793,6.701,12.968,128.000,160.000,2023:07:27:10:41:23:009125
58.295,47.274,6.147,28.199,1.325,2.136,4.161,10.046,128.000,160.000,2023:07:27:10:41:23:511223
58.916,48.090,5.159,31.694,1.110,1.433,3.389,9.912,128.000,160.000,2023:07:27:10:41:24:013316
58.916,48.090,6.444,30.516,1.206,1.705,3.744,9.062,128.000,160.000,2023:07:27:10:41:24:618514
59.345,48.568,5.502,24.347,1.162,1.751,3.240,10.129,128.000,160.000,2023:07:27:10:41:25:020158
59.345,48.568,5.126,25.256,1.072,1.789,3.184,9.539,128.000,160.000,2023:07:27:10:41:25:522787
60.566,49.254,5.061,25.784,1.119,1.795,3.355,9.312,128.000,160.000,2023:07:27:10:41:26:024097
60.566,49.254,5.517,27.017,1.144,1.934,3.586,9.663,128.000,160.000,2023:07:27:10:41:26:526867
