Attention,Meditation,brain_wave.alpha,brain_wave.delta,brain_wave.gamma,brain_wave.high_beta,brain_wave.low_beta,brain_wave.theta,eeg_data.pga,eeg_data.sample_rate,time
61.187,51.674,6.712,26.404,1.308,3.323,5.481,11.918,64.000,160.000,2023:07:27:10:45:05:714349
61.187,51.674,12.723,32.770,3.143,6.860,10.049,14.803,128.000,160.000,2023:07:27:10:45:06:113994
61.356,54.154,20.343,38.630,3.391,7.489,13.458,20.621,128.000,160.000,2023:07:27:10:45:06:615135
61.356,54.154,30.383,36.851,3.235,8.748,15.860,22.981,128.000,160.000,2023:07:27:10:45:07:119146
59.018,53.838,29.790,47.965,3.467,8.976,15.521,23.401,128.000,160.000,2023:07:27:10:45:07:723485
59.018,53.838,27.660,49.889,3.393,8.952,16.467,26.414,128.000,160.000,2023:07:27:10:45:08:123341
59.021,54.755,31.276,50.278,3.379,9.056,17.576,26.581,128.000,160.000,2023:07:27:10:45:08:726168
59.021,54.755,30.512,46.112,3.271,8.474,17.349,25.154,128.000,160.000,2023:07:27:10:45:09:126880
59.049,56.818,30.990,54.665,3.223,8.482,15.683,24.033,128.000,160.000,2023:07:27:10:45:09:728807
59.049,56.818,30.161,51.495,3.299,8.444,14.879,23.489,128.000,160.000,2023:07:27:10:45:10:130506
60.506,59.241,26.903,50.714,3.422,8.593,16.587,24.937,128.000,160.000,2023:07:27:10:45:10:732882
60.506,59.241,31.928,49.555,3.946,7.968,14.935,26.658,128.000,160.000,2023:07:27:10:45:11:136230
61.638,56.519,16.176,49.428,3.319,6.597,11.180,24.956,128.000,160.000,2023:07:27:10:45:11:739907
61.638,56.519,8.939,39.284,3.031,4.811,6.571,19.030,128.000,160.000,2023:07:27:10:45:12:143584
62.389,58.869,10.252,32.031,3.332,4.896,7.695,15.523,128.000,160.000,2023:07:27:10:45:12:745022
62.389,58.869,8.638,25.205,3.174,5.243,7.735,16.089,128.000,160.000,2023:07:27:10:45:13:146352
64.172,62.604,8.420,20.932,3.137,5.177,7.485,14.149,128.000,160.000,2023:07:27:10:45:13:747949
64.172,62.604,8.655,21.992,2.867,4.732,7.321,14.796,128.000,160.000,2023:07:27:10:45:14:149535
64.723,65.929,7.694,19.383,2.999,4.457,7.019,14.063,128.000,160.000,2023:07:27:10:45:14:751633
64.723,65.929,8.033,22.856,3.214,4.889,7.191,14.838,128.000,160.000,2023:07:27:10:45:15:152761
64.878,68.810,7.736,20.647,3.304,5.496,7.597,15.292,128.000,160.000,2023:07:27:10:45:15:755562
64.878,68.810,255.942,1472.037,80.060,127.123,160.107,424.007,8.000,160.000,2023:07:27:10:45:24:697615
65.752,71.996,275.399,2115.901,62.095,102.443,166.636,422.841,8.000,160.000,2023:07:27:10:45:25:099043
65.752,71.996,252.844,2232.513,60.142,98.387,158.999,377.471,4.000,160.000,2023:07:27:10:45:25:701451
66.528,74.493,180.027,910.741,44.792,69.523,108.524,299.007,8.000,160.000,2023:07:27:10:45:26:103071
66.528,74.493,168.423,844.380,42.411,66.735,103.299,278.668,16.000,160.000,2023:07:27:10:45:26:707416
66.527,77.519,36.729,229.961,10.558,17.958,22.921,63.768,32.000,160.000,2023:07:27:10:45:27:108348
66.527,77.519,34.557,241.349,10.324,17.705,22.925,61.272,64.000,160.000,2023:07:27:10:45:27:609461
67.544,81.051,35.417,224.729,10.032,18.401,23.483,62.764,128.000,160.000,2023:07:27:10:45:31:524894
67.544,81.051,34.643,226.880,10.373,17.155,22.542,59.260,128.000,160.000,2023:07:27:10:45:31:726569
68.650,84.943,37.756,221.480,10.298,17.230,22.969,63.467,128.000,160.000,2023:07:27:10:45:31:727532
68.650,84.943,29.545,189.610,5.109,10.047,17.380,51.756,128.000,160.000,2023:07:27:10:45:31:727532
69.663,87.191,17.138,140.810,3.507,6.594,13.101,28.136,128.000,160.000,2023:07:27:10:45:31:727532
69.663,87.191,17.321,129.663,3.569,6.589,13.831,28.540,128.000,160.000,2023:07:27:10:45:31:827411
69.832,88.414,18.263,106.073,3.566,7.616,14.241,25.035,128.000,160.000,2023:07:27:10:45:31:828380
69.832,88.414,13.354,57.326,3.506,6.457,11.483,32.852,128.000,160.000,2023:07:27:10:45:31:828380
69.622,86.023,9.657,40.104,2.095,3.765,8.514,23.072,128.000,160.000,2023:07:27:10:45:32:126928
69.622,86.023,10.321,34.742,1.971,3.789,7.675,21.125,128.000,160.000,2023:07:27:10:45:32:631024
67.299,84.014,8.030,34.695,1.826,3.145,5.859,22.121,128.000,160.000,2023:07:27:10:45:33:032031
67.299,84.014,7.985,34.496,1.749,2.840,5.907,21.443,128.000,160.000,2023:07:27:10:45:33:737144
66.229,80.486,7.567,31.059,1.711,3.117,5.033,17.931,128.000,160.000,2023:07:27:10:45:34:039102
66.229,80.486,7.494,31.438,1.589,2.622,5.135,18.915,128.000,160.000,2023:07:27:10:45:34:742061
65.821,77.430,8.560,30.124,1.546,2.442,4.881,17.290,128.000,160.000,2023:07:27:10:45:35:043571
65.821,77.430,7.618,25.240,1.152,1.601,3.678,13.095,128.000,160.000,2023:07:27:10:45:35:744388
66.448,74.383,5.102,22.083,1.037,1.624,3.816,12.653,128.000,160.000,2023:07:27:10:45:36:044583
66.448,74.383,4.503,20.310,0.912,1.652,3.255,12.768,128.000,160.000,2023:07:27:10:45:36:747263
64.523,72.887,3.934,17.256,0.925,1.644,3.000,11.174,128.000,160.000,2023:07:27:10:45:37:048531
64.523,72.887,3.906,24.346,1.092,1.590,2.615,13.408,128.000,160.000,2023:07:27:10:45:37:649359
65.341,70.418,12.698,29.846,2.324,3.736,9.085,22.010,128.000,160.000,2023:07:27:10:45:38:050197
65.341,70.418,9.106,52.104,1.347,2.470,5.595,21.095,128.000,160.000,2023:07:27:10:45:38:652845
67.802,65.897,8.722,52.773,1.349,2.328,5.078,19.374,128.000,160.000,2023:07:27:10:45:39:055150
67.802,65.897,8.928,51.580,1.327,2.379,4.889,20.398,128.000,160.000,2023:07:27:10:45:39:656317
67.766,65.477,8.745,53.314,1.322,2.315,4.875,21.063,128.000,160.000,2023:07:27:10:45:40:057211
67.766,65.477,8.714,53.032,1.266,2.325,5.235,18.602,128.000,160.000,2023:07:27:10:45:40:660490
67.450,61.986,8.710,53.619,1.209,2.184,5.138,19.188,128.000,160.000,2023:07:27:10:45:41:063330
